"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2001-019150","特願平11-192035","1999/07/06","2001/01/23","無人搬送車用移載装置","株式会社豊田自動織機","B65G1/00,501@C,B65G47/52,101@A","特開2001-019150","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-019150/11/ja"
"特開2000-355402","特願平11-169551","1999/06/16","2000/12/26","無人搬送車の制御装置及び制御方法","ニチユ三菱フォークリフト株式会社","B60K6/04,310,B60K6/04,320,B60K6/04,510,B60K6/04,B60K6/20,310,B60K6/20,320,B60K6/46,B60K9/00@C,B60L11/12,B65G1/00,501@C,B66F9/24@W,B60W10/00,900,B60W10/06,900,B60W10/08,900,B60W20/12","特開2000-355402","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-355402/11/ja"
"特開2000-353017","特願平11-163543","1999/06/10","2000/12/19","無人搬送車の運転方法","株式会社ＩＨＩ","B61B13/00@A,G05D1/02@W,G05D1/02@X,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2000-353017","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-353017/11/ja"
"特開2000-351385","特願平11-163544","1999/06/10","2000/12/19","無人搬送車","株式会社ＩＨＩ","B60G5/02,B62D7/14@Z","特開2000-351385","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-351385/11/ja"
"特開2000-344478","特願平11-157452","1999/06/04","2000/12/12","無人搬送車","ニチユ三菱フォークリフト株式会社","B60S9/21,B66F7/24","特開2000-344478","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-344478/11/ja"
"特開2000-344341","特願平11-157450","1999/06/04","2000/12/12","無人搬送車","ニチユ三菱フォークリフト株式会社","B65G47/52,101@A","特開2000-344341","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-344341/11/ja"
"特開2000-330635","特願平11-135622","1999/05/17","2000/11/30","無人搬送車","株式会社デンソー","G05D1/02@A,G05D1/02@Q,G05D1/02@X,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/611,G05D1/644,G05D1/646,G05D1/65,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:60,G05D111:67","特開2000-330635","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-330635/11/ja"
"特開2000-330633","特願平11-142034","1999/05/21","2000/11/30","無人搬送車の運行管理装置","マツダエース株式会社","G05D1/02@P,G05D1/224,G05D1/225,G05D1/226,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/248,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D1/646,G05D1/69,G05D1/693,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30","特開2000-330633","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-330633/11/ja"
"特開2000-330629","特願平11-135345","1999/05/17","2000/11/30","無人搬送車の走行・停止位置変更機構","大成建設株式会社","G05D1/02@A,G05D1/228,G05D1/229,G05D1/244,G05D1/43,G05D1/60,G05D1/646,G05D1/656,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2000-330629","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-330629/11/ja"
"特開2000-318606","特願平11-128331","1999/05/10","2000/11/21","無人搬送車","日本車輌製造株式会社,新日鐵住金株式会社","B60P3/00@J,B61D47/00@A,B65G1/00,501@C","特開2000-318606","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-318606/11/ja"
"特開2000-309276","特願平11-119382","1999/04/27","2000/11/07","無人搬送車","株式会社明電舎","B62B3/04@A,B62B3/10@A,B66F9/16@A,G05D1/02@Y,G05D1/24,G05D1/241,G05D1/43,G05D1/60,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2000-309276","","特許4224888","拒絶2008-016225","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-309276/11/ja"
"特開2000-308986","特願平11-115796","1999/04/23","2000/11/07","無人搬送車及び無人搬送車での移載方法","村田機械株式会社","B25J5/00@A,B25J13/08@Z,B65G1/00,501@C","特開2000-308986","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-308986/11/ja"
"特開2000-302037","特願平11-115791","1999/04/23","2000/10/31","無人搬送車","村田機械株式会社","B61B13/00@A,B61D47/00@A,B65G1/00,501@C,G05D1/02@Y,H01L21/68@A,G05D1/43,G05D1/60,G05D1/646,G05D1/656,G05D1/667,G05D1/678,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2000-302037","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-302037/11/ja"
"特開2000-298518","特願平11-108098","1999/04/15","2000/10/24","無人搬送車","村田機械株式会社","B65G1/00,501@C,G05D1/02@W,G05D1/228,G05D1/229,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2000-298518","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-298518/11/ja"
"特開2000-293226","特願平11-096388","1999/04/02","2000/10/20","無人搬送車","村田機械株式会社","B65G1/00,501@C,G01C15/00@A,G01C15/00,101,G05D1/02@E,G05D1/228,G05D1/229,G05D1/24,G05D1/244,G05D1/245,G05D1/43,G05D1/60,G05D1/80,G05D1/86,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:50","特開2000-293226","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2000-293226/11/ja"
